assignment_1,assignment_2,assignment_3,assignment_4,assignment_5,cycle_test_1,cycle_test_2,cycle_test_3,cat_1,cat_2,cat_3,attendance,lab_marks,risk_level
53,59,42,58,52,62,94,62,48,91,41,72,24,Medium Risk
2,63,0,46,33,82,10,66,69,38,40,79,62,Medium Risk
49,87,50,16,21,27,67,51,48,61,99,67,95,Medium Risk
11,34,23,95,66,16,81,67,2,91,22,81,29,High Risk
64,69,98,21,5,5,67,25,73,77,46,56,44,Medium Risk
53,82,23,67,78,18,97,74,4,52,12,82,89,Medium Risk
4,29,16,68,26,55,92,1,89,3,88,54,60,Medium Risk
93,70,4,36,9,27,87,13,60,81,65,98,99,Medium Risk
93,73,19,48,72,65,21,29,84,24,65,77,50,Medium Risk
56,95,20,12,96,37,65,48,89,6,15,57,97,Medium Risk
16,97,57,33,95,36,43,11,25,27,72,64,8,High Risk
46,62,30,85,47,67,5,89,71,68,27,53,75,Medium Risk
22,27,99,52,69,85,41,43,4,66,76,83,1,High Risk
78,59,10,86,58,89,24,32,14,94,34,54,4,High Risk
100,78,51,50,99,48,56,12,15,19,40,82,61,Medium Risk
84,93,14,2,58,42,84,77,0,82,76,54,68,Medium Risk
13,36,82,41,1,35,54,87,15,10,30,87,51,High Risk
65,92,6,97,28,57,15,97,36,66,84,83,85,Medium Risk
74,21,27,31,67,12,94,25,2,86,31,75,4,High Risk
50,67,50,50,64,51,13,20,51,6,53,50,58,High Risk
37,19,57,84,82,57,38,27,46,22,97,53,67,Medium Risk
63,95,4,45,25,31,27,47,94,60,71,88,8,Medium Risk
97,99,4,20,88,80,95,99,12,70,58,75,92,Medium Risk
37,67,93,43,9,99,91,39,79,33,40,82,21,Medium Risk
49,90,95,10,52,59,50,65,54,18,65,82,26,Medium Risk
97,63,7,67,78,82,48,72,20,57,95,57,9,High Risk
81,16,63,0,58,57,8,86,65,8,53,69,79,Medium Risk
29,11,9,91,21,98,57,78,53,47,39,65,60,Medium Risk
78,21,37,62,50,55,44,76,26,81,27,70,50,Medium Risk
90,16,95,23,47,27,21,22,37,40,36,94,9,High Risk
50,9,91,98,20,0,31,80,89,47,64,75,5,High Risk
62,64,80,12,21,41,68,47,57,44,73,72,61,Medium Risk
97,21,94,97,99,81,86,1,61,24,54,67,4,High Risk
51,89,7,10,97,47,68,83,45,77,3,80,69,Medium Risk
37,81,24,99,29,39,41,19,88,24,98,91,62,Medium Risk
96,49,72,50,24,96,52,58,10,18,9,61,55,High Risk
87,13,65,16,27,62,95,45,71,38,46,50,58,Medium Risk
78,63,78,98,64,75,58,2,7,78,74,91,62,Medium Risk
29,46,49,81,44,71,73,54,96,79,13,58,88,Medium Risk
50,28,66,85,67,87,38,11,70,26,37,52,58,Medium Risk
80,75,48,23,6,79,14,39,63,73,11,100,50,Medium Risk
4,35,35,18,48,3,70,65,20,62,44,75,49,High Risk
28,98,67,36,8,37,28,99,71,67,16,58,3,High Risk
3,51,77,84,35,26,2,77,62,18,79,91,47,Medium Risk
9,75,40,7,82,8,82,15,84,27,34,100,31,Medium Risk
55,6,88,27,0,15,9,82,63,84,65,65,50,Medium Risk
16,28,61,4,9,55,91,33,19,77,74,73,51,Medium Risk
73,10,9,16,35,75,28,43,7,32,40,99,98,Medium Risk
16,32,20,100,72,30,78,5,57,9,66,63,73,Medium Risk
83,5,35,35,45,87,34,76,45,82,28,52,33,High Risk
87,78,11,18,31,13,5,63,30,29,17,83,35,High Risk
68,31,90,63,31,24,11,99,92,21,19,82,69,Medium Risk
33,50,1,90,5,33,37,21,8,2,13,99,42,High Risk
5,74,12,97,47,66,76,17,14,100,33,73,15,High Risk
52,57,52,10,37,23,92,11,93,81,48,58,58,Medium Risk
65,86,31,53,16,72,18,51,25,74,53,62,52,Medium Risk
76,25,94,44,73,25,66,93,9,47,30,51,18,High Risk
42,97,15,46,26,19,7,50,28,1,57,56,97,High Risk
74,45,31,11,53,63,7,70,79,75,41,97,88,Medium Risk
22,97,31,20,49,9,83,95,35,53,57,70,94,Medium Risk
54,28,97,10,34,82,46,47,83,5,81,68,40,Medium Risk
79,3,10,91,84,66,3,18,36,39,29,74,80,Medium Risk
94,80,9,4,24,23,50,5,85,92,24,96,46,Medium Risk
74,98,14,80,27,4,84,83,70,93,62,71,93,Medium Risk
15,12,16,55,14,66,66,26,22,1,18,60,53,High Risk
7,38,39,19,3,57,44,52,40,72,71,82,54,Medium Risk
3,14,17,40,92,26,7,100,92,1,91,81,94,Medium Risk
3,28,54,45,72,79,86,47,79,92,7,70,18,Medium Risk
55,28,72,11,26,14,15,6,27,96,94,88,61,Medium Risk
24,74,24,69,25,34,76,58,47,73,2,69,98,Medium Risk
66,31,58,16,18,75,66,68,37,97,66,57,92,Medium Risk
95,1,77,18,91,52,8,10,30,54,85,91,58,Medium Risk
66,46,88,25,16,43,59,14,13,71,80,86,64,Medium Risk
26,77,21,47,42,25,77,63,96,100,99,58,67,Medium Risk
92,83,29,51,40,46,76,2,72,59,16,74,27,High Risk
31,21,83,95,41,33,70,68,90,96,13,74,17,Medium Risk
49,74,84,69,49,86,14,22,87,5,8,82,25,High Risk
60,26,43,54,83,94,70,52,76,18,61,51,18,High Risk
50,66,31,99,39,49,97,36,89,95,93,68,54,Medium Risk
18,80,50,74,38,83,40,8,28,26,20,95,56,Medium Risk
20,55,45,32,22,11,21,14,50,0,75,69,5,High Risk
4,91,20,61,95,86,23,2,48,32,36,91,0,High Risk
81,92,98,87,51,3,100,92,42,39,95,90,7,Medium Risk
91,20,31,22,46,86,43,69,91,31,10,91,96,Medium Risk
41,46,93,14,62,47,0,16,91,68,19,78,50,Medium Risk
60,79,38,26,96,54,9,25,71,16,34,55,84,Medium Risk
21,100,11,74,68,0,79,20,86,7,52,66,87,Medium Risk
20,58,46,63,42,88,71,71,92,56,46,74,24,Medium Risk
69,83,17,80,47,65,55,20,4,41,74,87,46,Medium Risk
0,5,20,50,33,29,88,10,41,97,51,53,54,High Risk
4,18,12,52,39,2,49,37,6,8,7,79,63,High Risk
11,56,20,77,74,20,11,71,41,86,3,69,82,Medium Risk
89,68,7,90,60,88,88,87,35,34,26,52,92,Medium Risk
45,2,45,81,49,83,80,34,26,70,43,72,9,High Risk
33,0,6,91,66,48,59,13,57,78,39,100,55,Medium Risk
48,57,22,50,61,85,25,13,45,52,46,67,11,High Risk
77,37,95,46,57,84,77,9,65,53,93,75,32,Medium Risk
89,14,74,3,32,61,40,11,24,83,43,85,70,Medium Risk
44,33,85,6,74,96,35,37,72,24,47,57,16,High Risk
26,60,21,34,15,37,22,33,26,66,90,66,60,Medium Risk
72,34,88,47,81,14,42,40,0,61,84,80,9,High Risk
25,63,21,72,93,51,5,9,86,54,51,86,30,Medium Risk
46,24,91,71,47,78,68,16,73,45,83,94,59,Medium Risk
85,23,28,44,9,45,42,16,41,23,67,82,69,Medium Risk
55,11,12,80,81,24,24,66,51,97,10,76,16,High Risk
93,17,81,80,37,20,17,61,24,45,76,94,49,Medium Risk
62,14,1,96,18,87,61,94,53,21,72,53,36,Medium Risk
47,79,28,95,35,4,12,0,66,10,3,71,81,High Risk
60,26,84,71,58,69,42,11,5,47,75,75,61,Medium Risk
80,71,78,18,62,46,77,3,57,7,72,81,89,Medium Risk
25,59,51,62,76,86,27,41,69,38,76,73,79,Medium Risk
35,45,26,37,45,67,17,12,52,34,47,95,71,Medium Risk
0,88,49,66,2,90,58,97,65,48,25,84,87,Medium Risk
7,16,94,58,73,17,59,84,57,45,76,86,76,Medium Risk
98,92,78,68,64,20,62,85,81,37,38,81,28,Medium Risk
51,52,22,12,90,91,56,3,86,7,91,56,31,Medium Risk
78,7,87,46,7,98,91,81,1,53,57,82,87,Medium Risk
46,78,43,60,50,85,50,68,75,36,18,80,79,Medium Risk
55,26,76,30,80,22,55,18,21,90,87,61,10,High Risk
85,45,21,79,72,63,26,1,36,91,82,60,95,Medium Risk
13,49,42,95,5,66,31,11,19,39,76,73,5,High Risk
89,70,36,21,88,39,8,80,23,33,76,57,34,High Risk
27,2,60,92,38,9,95,73,83,95,57,81,32,Medium Risk
86,92,96,85,59,88,83,97,64,78,27,87,17,Medium Risk
77,63,55,42,27,51,91,5,64,16,65,71,36,Medium Risk
87,43,2,66,96,71,96,7,80,32,9,83,12,High Risk
1,52,62,53,53,74,67,50,0,46,85,68,73,Medium Risk
25,23,18,9,36,60,45,10,93,51,76,69,100,Medium Risk
13,59,22,41,8,63,97,62,2,79,57,63,89,Medium Risk
58,2,28,63,81,4,66,56,45,92,72,82,80,Medium Risk
55,19,29,20,55,52,25,11,54,8,96,59,63,High Risk
6,45,38,79,58,54,7,72,74,32,13,65,0,High Risk
2,14,24,75,84,36,5,1,87,59,83,53,62,Medium Risk
22,24,100,65,1,55,79,7,85,92,14,76,88,Medium Risk
17,93,7,40,60,58,23,10,63,76,95,77,33,Medium Risk
37,77,57,23,57,92,47,52,44,20,32,92,9,High Risk
98,70,15,34,59,68,93,99,25,57,16,65,83,Medium Risk
14,16,71,55,39,72,44,9,76,84,23,82,6,High Risk
63,83,0,29,35,58,12,84,64,68,29,97,55,Medium Risk
88,99,4,56,36,1,68,83,23,9,61,68,79,Medium Risk
100,8,2,93,78,64,24,7,73,5,12,70,36,High Risk
27,37,64,46,91,59,19,35,34,12,61,71,28,High Risk
73,47,3,34,17,50,81,92,23,64,46,58,11,High Risk
38,59,98,18,97,29,81,75,27,19,15,58,16,High Risk
